SKU,BaseCode,Name,BaseCurve,BridgeSize,EyeSize,TempleSize,VerticalSize,AsianFitIndicator,AutomaticPlusOption,AvailabilityAsMauiPlano,AvailabilityAsMauiReader,ImageUrl,FrameColor,LensColor,LensGradient,LensMaterial,ReaderPower,StockLevel,StockStatus,TshirtDesign
MM103-034,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-034_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-035,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-035_front.jpg,Gloss Black,MAUIGreen®,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-037,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-037_front.jpg,Crystal Matte,MAUIGreen®,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-038,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-038_front.jpg,Tortoise,MAUIGreen®,Full Mirror,MauiBrilliant,0,1056,inStock,
MR103-001,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,1.5,46,inStock,
MR103-002,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,2,40,inStock,
MR103-003,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,2.5,56,inStock,
MR103-004,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-003_front.jpg,Gloss Black,Maui HT™,Bi-Gradient,Readers,1.5,92,inStock,
MR103-005,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-003_front.jpg,Gloss Black,Maui HT™,Bi-Gradient,Readers,2,89,inStock,
MR103-006,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-003_front.jpg,Gloss Black,Maui HT™,Bi-Gradient,Readers,2.5,94,inStock,
MR103-007,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-001_front.jpg,Gloss Black,Neutral Grey,Bi-Gradient,Readers,1.5,999,inStock,
MR103-008,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-001_front.jpg,Gloss Black,Neutral Grey,Bi-Gradient,Readers,2,999,inStock,
MR103-009,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-001_front.jpg,Gloss Black,Neutral Grey,Bi-Gradient,Readers,2.5,999,inStock,
MR103-010,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-004_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,Readers,1.5,92,inStock,
MR103-011,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-004_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,Readers,2,87,inStock,
MR103-012,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-004_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,Readers,2.5,93,inStock,
MR103-013,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-006_front.jpg,Tortoise,HCL® Bronze,Bi-Gradient,Readers,1.5,999,inStock,
MR103-014,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-006_front.jpg,Tortoise,HCL® Bronze,Bi-Gradient,Readers,2,999,inStock,
MR103-015,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-006_front.jpg,Tortoise,HCL® Bronze,Bi-Gradient,Readers,2.5,999,inStock,
MR103-016,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-007_front.jpg,Tortoise,Maui HT™,Bi-Gradient,Readers,1.5,83,inStock,
MR103-017,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-007_front.jpg,Tortoise,Maui HT™,Bi-Gradient,Readers,2,89,inStock,
MR103-018,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-007_front.jpg,Tortoise,Maui HT™,Bi-Gradient,Readers,2.5,89,inStock,
MR103-019,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-009_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,Readers,1.5,89,inStock,
MR103-020,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-009_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,Readers,2,80,inStock,
MR103-021,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-009_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,Readers,2.5,86,inStock,
MR103-022,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-008_front.jpg,Tortoise,Maui Rose®,Bi-Gradient,Readers,1.5,96,inStock,
MR103-023,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-008_front.jpg,Tortoise,Maui Rose®,Bi-Gradient,Readers,2,97,inStock,
MR103-024,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-008_front.jpg,Tortoise,Maui Rose®,Bi-Gradient,Readers,2.5,94,inStock,
MR103-025,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-016_front.jpg,Crystal Matte,Neutral Grey,Bi-Gradient,Readers,1.5,98,inStock,
MR103-026,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-017_front.jpg,Crystal Matte,HCL® Bronze,Bi-Gradient,Readers,1.5,99,inStock,
MR103-027,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-012_front.jpg,Crystal Matte,Maui Rose®,Bi-Gradient,Readers,1.5,99,inStock,
MR103-028,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-013_front.jpg,Crystal Matte,Maui HT™,Bi-Gradient,Readers,1.5,99,inStock,
MR103-029,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-016_front.jpg,Crystal Matte,Neutral Grey,Bi-Gradient,Readers,2,97,inStock,
MR103-030,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-017_front.jpg,Crystal Matte,HCL® Bronze,Bi-Gradient,Readers,2,100,inStock,
MR103-031,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-012_front.jpg,Crystal Matte,Maui Rose®,Bi-Gradient,Readers,2,99,inStock,
MR103-032,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-013_front.jpg,Crystal Matte,Maui HT™,Bi-Gradient,Readers,2,100,inStock,
MR103-033,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-016_front.jpg,Crystal Matte,Neutral Grey,Bi-Gradient,Readers,2.5,99,inStock,
MR103-034,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-017_front.jpg,Crystal Matte,HCL® Bronze,Bi-Gradient,Readers,2.5,99,inStock,
MR103-035,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-012_front.jpg,Crystal Matte,Maui Rose®,Bi-Gradient,Readers,2.5,99,inStock,
MR103-036,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-013_front.jpg,Crystal Matte,Maui HT™,Bi-Gradient,Readers,2.5,100,inStock,
MR103-037,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-014_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,Readers,1.5,0,outOfStock,
MR103-038,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-014_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,Readers,2,0,outOfStock,
MR103-039,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-014_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,Readers,2.5,0,outOfStock,
MR103-040,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-015_front.jpg,Tortoise,Blue Hawaii,Full Mirror,Readers,1.5,0,outOfStock,
MR103-041,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-015_front.jpg,Tortoise,Blue Hawaii,Full Mirror,Readers,2,0,outOfStock,
MR103-042,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-015_front.jpg,Tortoise,Blue Hawaii,Full Mirror,Readers,2.5,0,outOfStock,
MR103-043,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/B103-05CM_front.jpg,Crystal Matte,Blue Hawaii,Full Mirror,Readers,1.5,0,outOfStock,
MR103-044,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/B103-05CM_front.jpg,Crystal Matte,Blue Hawaii,Full Mirror,Readers,2,0,outOfStock,
MR103-045,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/B103-05CM_front.jpg,Crystal Matte,Blue Hawaii,Full Mirror,Readers,2.5,0,outOfStock,
MR103-046,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-025_front.jpg,Gloss Black,MAUI Sunrise,Full Mirror,Readers,1.5,990,inStock,
MR103-047,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-025_front.jpg,Gloss Black,MAUI Sunrise,Full Mirror,Readers,2,993,inStock,
MR103-048,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-025_front.jpg,Gloss Black,MAUI Sunrise,Full Mirror,Readers,2.5,995,inStock,
MR103-049,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-027_front.jpg,Crystal Matte,MAUI Sunrise,Full Mirror,Readers,1.5,999,inStock,
MR103-050,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-027_front.jpg,Crystal Matte,MAUI Sunrise,Full Mirror,Readers,2,998,inStock,
MR103-051,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-027_front.jpg,Crystal Matte,MAUI Sunrise,Full Mirror,Readers,2.5,998,inStock,
MR103-052,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-028_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,Readers,1.5,999,inStock,
MR103-053,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-028_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,Readers,2,997,inStock,
MR103-054,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-028_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,Readers,2.5,998,inStock,
MR103-073,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-030_front.jpg,Gloss Black,HAWAII LAVA™,Full Mirror,Readers,1.5,982,inStock,
MR103-074,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-030_front.jpg,Gloss Black,HAWAII LAVA™,Full Mirror,Readers,2,993,inStock,
MR103-075,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-030_front.jpg,Gloss Black,HAWAII LAVA™,Full Mirror,Readers,2.5,991,inStock,
MR103-079,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-032_front.jpg,Crystal Matte,HAWAII LAVA™,Full Mirror,Readers,1.5,999,inStock,
MR103-080,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-032_front.jpg,Crystal Matte,HAWAII LAVA™,Full Mirror,Readers,2,999,inStock,
MR103-081,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-032_front.jpg,Crystal Matte,HAWAII LAVA™,Full Mirror,Readers,2.5,999,inStock,
MR103-082,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-033_front.jpg,Tortoise,HAWAII LAVA™,Full Mirror,Readers,1.5,994,inStock,
MR103-083,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-033_front.jpg,Tortoise,HAWAII LAVA™,Full Mirror,Readers,2,997,inStock,
MR103-084,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-033_front.jpg,Tortoise,HAWAII LAVA™,Full Mirror,Readers,2.5,996,inStock,
MR103-085,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-035_front.jpg,Gloss Black,MAUIGreen®,Full Mirror,Readers,1.5,997,inStock,
MR103-086,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-035_front.jpg,Gloss Black,MAUIGreen®,Full Mirror,Readers,2,995,inStock,
MR103-087,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-035_front.jpg,Gloss Black,MAUIGreen®,Full Mirror,Readers,2.5,996,inStock,
MR103-091,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-037_front.jpg,Crystal Matte,MAUIGreen®,Full Mirror,Readers,1.5,999,inStock,
MR103-092,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-037_front.jpg,Crystal Matte,MAUIGreen®,Full Mirror,Readers,2,998,inStock,
MR103-093,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-037_front.jpg,Crystal Matte,MAUIGreen®,Full Mirror,Readers,2.5,998,inStock,
MR103-094,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-038_front.jpg,Tortoise,MAUIGreen®,Full Mirror,Readers,1.5,997,inStock,
MR103-095,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-038_front.jpg,Tortoise,MAUIGreen®,Full Mirror,Readers,2,993,inStock,
MR103-096,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-038_front.jpg,Tortoise,MAUIGreen®,Full Mirror,Readers,2.5,996,inStock,
MM162-001,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient 555,MauiBrilliant,0,835,inStock,
MM162-002,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-002_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient 5555,MauiBrilliant,0,835,inStock,
MM162-003,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,MauiBrilliant,0,835,inStock,
MM162-004,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-004_front.jpg,Gunmetal,Maui Rose®,Bi-Gradient,MauiBrilliant,0,835,inStock,
MM162-005,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,SuperThin Glass,0,835,inStock,
MM162-011,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-011_front.jpg,Gunmetal,Blue Hawaii,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-013,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-013_front.jpg,Gunmetal,MAUI Sunrise,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-015,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-015_front.jpg,Gunmetal,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-017,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-017_front.jpg,Gunmetal,MAUIGreen®,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-018,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-018_front.jpg,Metallic Gloss Copper,MAUIGreen®,Full Mirror,MauiBrilliant,0,835,inStock,
MR162-001,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,1.5,73,inStock,
MR162-002,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,2,79,inStock,
MR162-003,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,2.5,88,inStock,
MR162-004,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,1.5,90,inStock,
MR162-005,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,2,89,inStock,
MR162-006,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,2.5,90,inStock,
MR162-007,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,1.5,999,inStock,
MR162-008,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,2,999,inStock,
MR162-009,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,2.5,999,inStock,
