SKU,BaseCode,Name,BaseCurve,BridgeSize,EyeSize,TempleSize,VerticalSize,AsianFitIndicator,AutomaticPlusOption,AvailabilityAsMauiPlano,AvailabilityAsMauiReader,ImageUrl,FrameColor,LensColor,LensGradient,LensMaterial,ReaderPower,StockLevel,StockStatus,TshirtDesign
MM103-028,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-028_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,MauiBrilliant,0,1056,inStock,
MM103-029,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-029_front.jpg,Tortoise,Blue Hawaii,Full Mirror,MauiBrilliant,0,1056,inStock,
MM103-030,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-030_front.jpg,Gloss Black,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-032,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-032_front.jpg,Crystal Matte,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-033,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-033_front.jpg,Tortoise,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,1056,inStock,
MM103-034,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-034_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-035,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-035_front.jpg,Gloss Black,MAUIGreen®,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-037,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-037_front.jpg,Crystal Matte,MAUIGreen®,Full Mirror,MauiBrilliant,0,2530,inStock,
MM103-038,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-038_front.jpg,Tortoise,MAUIGreen®,Full Mirror,MauiBrilliant,0,1056,inStock,
MR103-001,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,1.5,46,inStock,
MR103-002,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,2,40,inStock,
MR103-003,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Readers,2.5,56,inStock,
MM162-001,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient 555,MauiBrilliant,0,835,inStock,
MM162-002,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-002_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient 5555,MauiBrilliant,0,835,inStock,
MM162-003,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,MauiBrilliant,0,835,inStock,
MM162-004,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-004_front.jpg,Gunmetal,Maui Rose®,Bi-Gradient,MauiBrilliant,0,835,inStock,
MM162-005,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,SuperThin Glass,0,835,inStock,
MM162-011,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-011_front.jpg,Gunmetal,Blue Hawaii,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-013,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-013_front.jpg,Gunmetal,MAUI Sunrise,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-015,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-015_front.jpg,Gunmetal,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-017,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-017_front.jpg,Gunmetal,MAUIGreen®,Full Mirror,MauiBrilliant,0,835,inStock,
MM162-018,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-018_front.jpg,Metallic Gloss Copper,MAUIGreen®,Full Mirror,MauiBrilliant,0,835,inStock,
MR162-001,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,1.5,73,inStock,
MR162-002,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,2,79,inStock,
MR162-003,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-005_front.jpg,Gunmetal,HCL® Bronze,Bi-Gradient,Readers,2.5,88,inStock,
MR162-004,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,1.5,90,inStock,
MR162-005,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,2,89,inStock,
MR162-006,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-003_front.jpg,Gunmetal,Maui HT™,Bi-Gradient,Readers,2.5,90,inStock,
MR162-007,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,1.5,999,inStock,
MR162-008,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,2,999,inStock,
MR162-009,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-001_front.jpg,Gunmetal,Neutral Grey,Bi-Gradient,Readers,2.5,999,inStock,
MR162-010,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-004_front.jpg,Gunmetal,Maui Rose®,Bi-Gradient,Readers,1.5,98,inStock,
MR162-011,MM162,KAHUNA,8,18,61,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/162/MM162-004_front.jpg,Gunmetal,Maui Rose®,Bi-Gradient,Readers,2,96,inStock,
MM202-001,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-001_front.jpg,Gloss Black,Neutral Grey,Bi-Gradient,MauiBrilliant,0,0,outOfStock,
MM202-002,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,0,outOfStock,
MM202-003,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-003_front.jpg,Gloss Black,Maui HT™,Bi-Gradient,MauiBrilliant,0,0,outOfStock,
MM202-004,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-004_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,MauiBrilliant,0,0,outOfStock,
MM202-005,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-005_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,SuperThin Glass,0,0,outOfStock,
MM202-006,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-006_front.jpg,Gloss Black,Maui HT™,Bi-Gradient,SuperThin Glass,0,0,outOfStock,
MM202-013,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-013_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,MauiBrilliant,0,42,inStock,
MM202-014,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-014_front.jpg,Tortoise,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,42,inStock,
MM202-015,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-015_front.jpg,Tortoise,Maui HT™,Bi-Gradient,MauiBrilliant,0,42,inStock,
MM202-016,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-016_front.jpg,Tortoise,Maui Rose®,Bi-Gradient,MauiBrilliant,0,42,inStock,
MM202-017,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-017_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,SuperThin Glass,0,42,inStock,
MM202-018,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-018_front.jpg,Tortoise,Maui HT™,Bi-Gradient,SuperThin Glass,0,42,inStock,
MM202-019,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-019_front.jpg,Black Matte Rubber,Neutral Grey,Bi-Gradient,MauiBrilliant,0,4902,inStock,
MM202-020,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-020_front.jpg,Black Matte Rubber,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,4902,inStock,
MM202-021,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-021_front.jpg,Black Matte Rubber,Maui HT™,Bi-Gradient,MauiBrilliant,0,4902,inStock,
MM202-022,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-022_front.jpg,Black Matte Rubber,Maui Rose®,Bi-Gradient,MauiBrilliant,0,0,outOfStock,
MM202-023,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-023_front.jpg,Black Matte Rubber,Neutral Grey,Bi-Gradient,SuperThin Glass,0,4902,inStock,
MM202-038,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-038_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,SuperThin Glass,0,4902,inStock,
MM202-039,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-039_front.jpg,Tortoise,Blue Hawaii,Full Mirror,SuperThin Glass,0,42,inStock,
MM202-040,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-040_front.jpg,Black Matte Rubber,Maui HT™,Bi-Gradient,SuperThin Glass,0,4902,inStock,
MM202-041,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-041_front.jpg,Gloss Black,MAUI Sunrise,Full Mirror,MauiBrilliant,0,0,outOfStock,
MM202-043,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-043_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,MauiBrilliant,0,42,inStock,
MM202-044,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-044_front.jpg,Black Matte Rubber,MAUI Sunrise,Full Mirror,MauiBrilliant,0,4902,inStock,
MM202-047,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-047_front.jpg,Gloss Black,Blue Hawaii,Full Mirror,MauiBrilliant,0,0,outOfStock,
MM202-048,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-048_front.jpg,Tortoise,Blue Hawaii,Full Mirror,MauiBrilliant,0,42,inStock,
MM202-062,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-062_front.jpg,Gloss Black,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,0,outOfStock,
MM202-065,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-065_front.jpg,Tortoise,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,42,inStock,
MM202-066,MM202,PEAHI,8,19,65,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/202/MM202-066_front.jpg,Black Matte Rubber,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,4902,inStock,
MM245-007,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-007_front.jpg,Gold,Neutral Grey,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-008,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-008_front.jpg,Gold,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-009,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-009_front.jpg,Gold,Maui HT™,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-010,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-010_front.jpg,Gold,Maui Rose®,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-011,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-011_front.jpg,Gold,Neutral Grey,MauiGradient®,MauiPure,0,344,inStock,
MM245-013,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-013_front.jpg,Silver,Neutral Grey,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-014,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-014_front.jpg,Silver,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-015,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-015_front.jpg,Silver,Maui HT™,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-016,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-016_front.jpg,Silver,Maui Rose®,Bi-Gradient,MauiBrilliant,0,344,inStock,
MM245-017,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-017_front.jpg,Silver,HCL® Bronze,MauiGradient®,MauiPure,0,344,inStock,
MM245-019,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-019_front.jpg,Gold,Blue Hawaii,Full Mirror,MauiPure,0,1456,inStock,
MM245-020,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-020_front.jpg,Silver,MAUI Sunrise,Full Mirror,MauiPure,0,344,inStock,
MM245-021,MM245,BABY BEACH,6,15,57,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/245/MM245-021_front.jpg,Gold,MAUI Sunrise,Full Mirror,MauiPure,0,344,inStock,
MM246-007,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-007_front.jpg,Gold,Neutral Grey,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-008,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-008_front.jpg,Gold,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-009,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-009_front.jpg,Gold,Maui HT™,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-010,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-010_front.jpg,Gold,Maui Rose®,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-011,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-011_front.jpg,Gold,Neutral Grey,MauiGradient®,MauiPure,0,686,inStock,
MM246-013,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-013_front.jpg,Silver,Neutral Grey,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-014,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-014_front.jpg,Silver,HCL® Bronze,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-015,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-015_front.jpg,Silver,Maui HT™,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-016,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-016_front.jpg,Silver,Maui Rose®,Bi-Gradient,MauiBrilliant,0,686,inStock,
MM246-017,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-017_front.jpg,Silver,HCL® Bronze,MauiGradient®,MauiPure,0,686,inStock,
MM246-019,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-019_front.jpg,Gold,Blue Hawaii,Full Mirror,MauiPure,0,153,inStock,
MM246-022,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-022_front.jpg,Gold,MAUI Sunrise,Full Mirror,MauiBrilliant,0,686,inStock,
MM246-023,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-023_front.jpg,Silver,MAUI Sunrise,Full Mirror,MauiBrilliant,0,686,inStock,
MM246-033,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-033_front.jpg,Gold,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,1597,inStock,
MM246-034,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-034_front.jpg,Silver,HAWAII LAVA™,Full Mirror,MauiBrilliant,0,686,inStock,
MM246-036,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-036_front.jpg,Gold,MAUIGreen®,Full Mirror,MauiBrilliant,0,1597,inStock,
MM246-037,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-037_front.jpg,Silver,MAUIGreen®,Full Mirror,MauiBrilliant,0,686,inStock,
MR246-001,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-013_front.jpg,Silver,Neutral Grey,Bi-Gradient,Readers,1.5,24,inStock,
MR246-002,MM246,WIKI WIKI,6,16,59,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/246/MM246-014_front.jpg,Silver,HCL® Bronze,Bi-Gradient,Readers,1.5,96,inStock,







